Date : 2020-04-21 09:55:34
Directory : /Users/peterhrvola/dev/scheduler
Total : 56 files,  3025 codes, 42 comments, 456 blanks, all 3523 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/peterhrvola/dev/scheduler/components/cost_flow/src/minimum_cost_flow.rs          | Rust             |        157 |          0 |         26 |        183 |
| /Users/peterhrvola/dev/scheduler/components/cpu/Cargo.toml                              | TOML             |          8 |          1 |          3 |         12 |
| /Users/peterhrvola/dev/scheduler/components/cpu/src/lib.rs                              | Rust             |         20 |          0 |          4 |         24 |
| /Users/peterhrvola/dev/scheduler/components/cpu/src/main.rs                             | Rust             |          5 |          0 |          2 |          7 |
| /Users/peterhrvola/dev/scheduler/components/disk/Cargo.toml                             | TOML             |          9 |          1 |          3 |         13 |
| /Users/peterhrvola/dev/scheduler/components/disk/src/lib.rs                             | Rust             |         65 |          0 |          9 |         74 |
| /Users/peterhrvola/dev/scheduler/components/disk/src/main.rs                            | Rust             |         19 |          0 |          5 |         24 |
| /Users/peterhrvola/dev/scheduler/components/from_hashmap/Cargo.toml                     | TOML             |         10 |          0 |          2 |         12 |
| /Users/peterhrvola/dev/scheduler/components/from_hashmap/src/lib.rs                     | Rust             |         53 |         10 |         12 |         75 |
| /Users/peterhrvola/dev/scheduler/components/measure/Cargo.toml                          | TOML             |         22 |          1 |          3 |         26 |
| /Users/peterhrvola/dev/scheduler/components/measure/src/application_profile.rs          | Rust             |         53 |          1 |          5 |         59 |
| /Users/peterhrvola/dev/scheduler/components/measure/src/bpf/mod.rs                      | Rust             |         46 |          0 |          9 |         55 |
| /Users/peterhrvola/dev/scheduler/components/measure/src/bpf/profile.rs                  | Rust             |         94 |          0 |         11 |        105 |
| /Users/peterhrvola/dev/scheduler/components/measure/src/lib.rs                          | Rust             |         97 |          1 |         12 |        110 |
| /Users/peterhrvola/dev/scheduler/components/measure/src/main.rs                         | Rust             |         37 |          0 |          7 |         44 |
| /Users/peterhrvola/dev/scheduler/components/measure/src/perf/mod.rs                     | Rust             |         48 |          0 |          9 |         57 |
| /Users/peterhrvola/dev/scheduler/components/measure/src/perf/profile.rs                 | Rust             |         53 |          0 |          7 |         60 |
| /Users/peterhrvola/dev/scheduler/components/measure/src/pmap/mod.rs                     | Rust             |         49 |          0 |          9 |         58 |
| /Users/peterhrvola/dev/scheduler/components/memory/Cargo.toml                           | TOML             |         10 |          1 |          3 |         14 |
| /Users/peterhrvola/dev/scheduler/components/memory/src/lib.rs                           | Rust             |         40 |          3 |          8 |         51 |
| /Users/peterhrvola/dev/scheduler/components/memory/src/main.rs                          | Rust             |         10 |          0 |          3 |         13 |
| /Users/peterhrvola/dev/scheduler/components/network/Cargo.toml                          | TOML             |          7 |          1 |          3 |         11 |
| /Users/peterhrvola/dev/scheduler/components/network/src/lib.rs                          | Rust             |         16 |          0 |          3 |         19 |
| /Users/peterhrvola/dev/scheduler/components/network/src/main.rs                         | Rust             |          4 |          0 |          2 |          6 |
| /Users/peterhrvola/dev/scheduler/components/scheduler/Cargo.toml                        | TOML             |         27 |          1 |          3 |         31 |
| /Users/peterhrvola/dev/scheduler/components/scheduler/build.rs                          | Rust             |          5 |          0 |          1 |          6 |
| /Users/peterhrvola/dev/scheduler/components/scheduler/src/main.rs                       | Rust             |         55 |          0 |         10 |         65 |
| /Users/peterhrvola/dev/scheduler/components/scheduler/src/rpc/mod.rs                    | Rust             |        128 |          0 |         20 |        148 |
| /Users/peterhrvola/dev/scheduler/components/scheduler/src/scheduler/mod.rs              | Rust             |         31 |          0 |          4 |         35 |
| /Users/peterhrvola/dev/scheduler/components/scheduler/src/scheduler/resource_profile.rs | Rust             |         77 |          3 |         13 |         93 |
| /Users/peterhrvola/dev/scheduler/components/scheduler/src/scheduler/scheduler.rs        | Rust             |        171 |          4 |         23 |        198 |
| /Users/peterhrvola/dev/scheduler/components/scheduler/src/scheduler/server.rs           | Rust             |         31 |          0 |          5 |         36 |
| /Users/peterhrvola/dev/scheduler/components/scheduler/src/scheduler/task.rs             | Rust             |         92 |          0 |         10 |        102 |
| /Users/peterhrvola/dev/scheduler/components/scheduler/src/scheduler/virtual_resource.rs | Rust             |         17 |          0 |          4 |         21 |
| /Users/peterhrvola/dev/scheduler/components/scheduler/src/webui/handlers.rs             | Rust             |        148 |          0 |         20 |        168 |
| /Users/peterhrvola/dev/scheduler/components/scheduler/src/webui/mod.rs                  | Rust             |         68 |          0 |         11 |         79 |
| /Users/peterhrvola/dev/scheduler/components/scheduler/src/webui/pages/footer.hbs        | Handlebars       |          8 |          0 |          0 |          8 |
| /Users/peterhrvola/dev/scheduler/components/scheduler/src/webui/pages/graph.hbs         | Handlebars       |         48 |          0 |          8 |         56 |
| /Users/peterhrvola/dev/scheduler/components/scheduler/src/webui/pages/header.hbs        | Handlebars       |        133 |          0 |         18 |        151 |
| /Users/peterhrvola/dev/scheduler/components/scheduler/src/webui/pages/index.hbs         | Handlebars       |          3 |          0 |          2 |          5 |
| /Users/peterhrvola/dev/scheduler/components/scheduler/src/webui/pages/server.hbs        | Handlebars       |         94 |          0 |          3 |         97 |
| /Users/peterhrvola/dev/scheduler/components/scheduler/src/webui/pages/task.hbs          | Handlebars       |        106 |          0 |          6 |        112 |
| /Users/peterhrvola/dev/scheduler/components/scheduler_agent/Cargo.toml                  | TOML             |         19 |          1 |          4 |         24 |
| /Users/peterhrvola/dev/scheduler/components/scheduler_agent/build.rs                    | Rust             |          5 |          0 |          1 |          6 |
| /Users/peterhrvola/dev/scheduler/components/scheduler_agent/src/main.rs                 | Rust             |         94 |          0 |         13 |        107 |
| /Users/peterhrvola/dev/scheduler/components/scheduler_agent/src/task.rs                 | Rust             |         95 |          0 |          9 |        104 |
| /Users/peterhrvola/dev/scheduler/components/scheduler_proto/scheduler.proto             | Protocol Buffers |         64 |          0 |         11 |         75 |
| /Users/peterhrvola/dev/scheduler/rustfmt.toml                                           | TOML             |          5 |          1 |          1 |          7 |
| Total                                                                                   |                  |      3,025 |         42 |        456 |      3,523 |
+-----------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
